Date,Weekday,Week_Number,Month,Year,Hour,Country,Region,Site,Queue_Name,Channel,All_Units_Filter,Queue_Units_Filter,ASU_Tier_Filter,Business_Unit,planned_Volume,offered_Volume,handled_Volume,abandoned_Volume,backlog_Volume,aHT_Seconds,handle_Time_Total,Wait_Time_Avg,shrinkage_Percent,required_FTE,agent_Count,utilization_percent,Active_Agents,Service_Level_Percent,Occupancy_Percent
2023-09-29,Friday,39,September,2023,3,Bulgaria,EMEA,Bulgaria Hub,INBOUND_VOICE_TIER1,Chat,Consumer,Inbound,Tier 1,Banking,464,492,484,8,8,355,171820,5.772357724,28,5,6,71,4,86,89
2022-10-16,Sunday,41,October,2022,15,Kenya,EMEA,Kenya Hub,EMEA_CHAT_SUPPORT_T1,Email,Consumer,Support,Tier 1,Retail,91,79,66,13,13,272,17952,44.75949367,18,0,0,90,0,73,71
2022-06-29,Wednesday,26,June,2022,22,South Africa,EMEA,Cape Town,EMEA_CORE_EMAIL_T2,Email,Premium,Support,Tier 2,Telecom,359,370,358,12,12,593,212294,19.23243243,28,7,9,90,8,76,83
2025-07-31,Thursday,31,July,2025,6,Iceland,EMEA,Iceland Hub,INBOUND_VOICE_TIER1,Chat,Enterprise,Inbound,Tier 3,Telecom,307,318,308,10,10,856,263648,26.91823899,25,9,11,83,9,71,69
2022-07-06,Wednesday,27,July,2022,0,Luxembourg,EMEA,Luxembourg Hub,OUTBOUND_SALES_T2,Email,Enterprise,Outbound,Tier 1,Telecom,500,481,466,15,15,866,403556,27.00623701,34,14,19,66,13,72,86
2022-11-21,Monday,47,November,2022,13,Portugal,EMEA,Portugal Hub,INBOUND_VOICE_TIER1,Email,Consumer,Inbound,Tier 2,E-commerce,118,121,98,23,23,483,47334,91.80991736,25,1,1,65,1,81,83
2023-02-03,Friday,5,February,2023,3,Iceland,EMEA,Iceland Hub,OUTBOUND_SALES_T2,Chat,Premium,Outbound,Tier 2,Healthcare,289,284,275,9,9,805,221375,25.51056338,25,7,9,65,6,86,63
2025-03-04,Tuesday,10,March,2025,20,Hungary,EMEA,Hungary Hub,EMEA_CORE_EMAIL_TIER2,Chat,Enterprise,Support,Tier 1,E-commerce,161,145,132,13,13,663,87516,59.44137931,21,3,4,73,3,79,89
2024-10-26,Saturday,43,October,2024,7,France,EMEA,Paris,EMEA_CHAT_SUPPORT_T1,Chat,Premium,Support,Tier 1,Telecom,161,191,161,30,30,461,74221,72.40837696,33,2,3,66,2,75,63
2024-11-14,Thursday,46,November,2024,19,Slovakia,EMEA,Slovakia Hub,CUSTOMER_SUPPORT_CHAT_T1,Email,Enterprise,Customer Support,Tier 1,Retail,385,372,360,12,12,894,321840,28.83870968,26,11,14,79,11,90,71
