Date,Weekday,Week_Number,Month,Year,Hour,Country,Region,Site,Queue_Name,Channel,All_Units_Filter,Queue_Units_Filter,ASU_Tier_Filter,Business_Unit,planned_Volume,offered_Volume,handled_Volume,abandoned_Volume,backlog_Volume,aHT_Seconds,handle_Time_Total,Wait_Time_Avg,shrinkage_Percent,required_FTE,agent_Count,utilization_percent,Active_Agents,Service_Level_Percent,Occupancy_Percent
2025-02-09,Sunday,6,February,2025,10,South Korea,APAC,South Korea Hub,RETENTION_VOICE_T2,Voice,Consumer,Retention,Tier 3,Retail,107,90,86,4,4,630,54180,28.0,20,1,1,89,1,89,61
2021-10-14,Thursday,41,October,2021,16,Mongolia,APAC,Mongolia Hub,RETENTION_VOICE_T2,Voice,Enterprise,Retention,Tier 3,Retail,311,331,330,1,1,280,92400,0.84592145,20,3,4,71,3,84,63
2022-07-29,Friday,30,July,2022,8,North Korea,APAC,North Korea Hub,RETENTION_VOICE_T2,Email,Premium,Retention,Tier 2,Retail,408,402,402,0,0,718,288636,0.0,17,10,12,73,9,80,68
2021-05-16,Sunday,19,May,2021,14,Bulgaria,EMEA,Bulgaria Hub,RETENTION_VOICE_T2,Chat,Enterprise,Retention,Tier 3,Healthcare,275,268,261,7,7,346,90306,9.037313433,23,3,4,76,3,77,77
2025-03-13,Thursday,11,March,2025,6,Finland,EMEA,Finland Hub,RETENTION_VOICE_T2,Voice,Enterprise,Retention,Tier 1,E-commerce,365,379,366,13,13,492,180072,16.87598945,30,6,8,72,6,89,60
2021-12-08,Wednesday,49,December,2021,6,North Korea,APAC,North Korea Hub,RETENTION_VOICE_T2,Email,Consumer,Retention,Tier 2,Healthcare,188,191,164,27,27,195,31980,27.56544503,23,1,1,89,1,75,79
2022-10-11,Tuesday,41,October,2022,3,China,APAC,Shanghai,RETENTION_VOICE_T2,Voice,Consumer,Retention,Tier 2,E-commerce,124,148,130,18,18,579,75270,70.41891892,17,2,2,85,2,88,82
2021-09-15,Wednesday,37,September,2021,1,Sri Lanka,APAC,Sri Lanka Hub,RETENTION_VOICE_T2,Email,Consumer,Retention,Tier 1,Retail,279,289,261,28,28,478,124758,46.31141869,27,4,5,87,4,81,79
2025-06-26,Thursday,26,June,2025,23,Philippines,APAC,Cebu,RETENTION_VOICE_T2,Email,Enterprise,Retention,Tier 3,Retail,243,227,200,27,27,814,162800,96.81938326,30,5,7,72,5,76,87
2022-05-26,Thursday,21,May,2022,17,Poland,EMEA,Poland Hub,RETENTION_VOICE_T2,Voice,Enterprise,Retention,Tier 3,E-commerce,257,258,257,1,1,887,227959,3.437984496,26,7,9,92,8,73,66
