job_id,actual_start,completion_ts,machine_id,part_family,operator_shift,rework_flag,processing_minutes
J500001,2022-01-01 00:20:00,2022-01-01 01:10:36.000000000,M05,shaft,A,False,50.6
J500002,2022-01-01 00:33:00,2022-01-01 01:21:54.000000000,M05,gear,A,False,48.9
J500003,2022-01-01 00:39:00,2022-01-01 01:34:00.000000000,M10,plate,A,False,55.0
J500004,2022-01-01 00:47:00,2022-01-01 01:39:06.000000000,M12,flange,A,False,52.1
J500005,2022-01-01 00:52:00,2022-01-01 01:39:42.000000000,M07,plate,A,False,47.7
J500006,2022-01-01 01:21:00,2022-01-01 02:11:24.000000000,M01,housing,A,False,50.4
J500007,2022-01-01 01:33:00,2022-01-01 02:24:54.000000000,M07,plate,A,False,51.9
J500008,2022-01-01 01:41:00,2022-01-01 02:30:42.000000000,M04,gear,A,False,49.7
J500009,2022-01-01 01:52:00,2022-01-01 02:45:00.000000000,M07,shaft,A,False,53.0
J500010,2022-01-01 03:51:00,2022-01-01 04:38:00.000000000,M04,housing,A,False,47.0
J500011,2022-01-01 04:07:00,2022-01-01 04:54:30.000000000,M07,plate,A,False,47.5
J500012,2022-01-01 04:53:00,2022-01-01 05:44:48.000000000,M11,plate,A,False,51.8
J500013,2022-01-01 05:15:00,2022-01-01 06:05:36.000000000,M10,flange,A,False,50.6
J500014,2022-01-01 06:31:00,2022-01-01 07:23:48.000000000,M05,flange,A,False,52.8
J500015,2022-01-01 08:04:00,2022-01-01 08:54:00.000000000,M07,plate,B,False,50.0
J500016,2022-01-01 08:43:00,2022-01-01 09:29:42.000000000,M07,plate,B,False,46.7
J500017,2022-01-01 09:46:00,2022-01-01 10:37:06.000000000,M01,housing,B,False,51.1
J500018,2022-01-01 10:17:00,2022-01-01 11:08:42.000000000,M07,gear,B,False,51.7
J500019,2022-01-01 11:05:00,2022-01-01 11:55:18.000000000,M03,housing,B,False,50.3
J500020,2022-01-01 11:45:00,2022-01-01 12:31:00.000000000,M11,housing,B,False,46.0
J500021,2022-01-01 11:55:00,2022-01-01 12:43:00.000000000,M08,shaft,B,False,48.0
J500022,2022-01-01 12:09:00,2022-01-01 12:58:36.000000000,M04,housing,B,False,49.6
J500023,2022-01-01 12:44:00,2022-01-01 13:33:00.000000000,M06,plate,B,False,49.0
J500024,2022-01-01 14:16:00,2022-01-01 15:07:30.000000000,M11,flange,B,False,51.5
J500025,2022-01-01 15:06:00,2022-01-01 15:56:00.000000000,M07,flange,B,False,50.0
J500026,2022-01-01 15:21:00,2022-01-01 16:13:18.000000000,M05,bracket,B,False,52.3
J500027,2022-01-01 15:46:00,2022-01-01 16:35:18.000000000,M03,gear,B,False,49.3
J500028,2022-01-01 15:49:00,2022-01-01 16:38:36.000000000,M03,gear,B,False,49.6
J500029,2022-01-01 16:18:00,2022-01-01 17:08:36.000000000,M01,flange,C,False,50.6
J500030,2022-01-01 16:35:00,2022-01-01 17:29:42.000000000,M07,housing,C,False,54.7
J500031,2022-01-01 17:21:00,2022-01-01 18:12:12.000000000,M03,flange,C,False,51.2
J500032,2022-01-01 17:47:00,2022-01-01 18:38:48.000000000,M08,gear,C,False,51.8
J500033,2022-01-01 17:52:00,2022-01-01 18:43:36.000000000,M04,bracket,C,False,51.6
J500034,2022-01-01 18:07:00,2022-01-01 18:55:42.000000000,M12,housing,C,False,48.7
J500035,2022-01-01 18:29:00,2022-01-01 19:21:12.000000000,M07,plate,C,False,52.2
J500036,2022-01-01 19:11:00,2022-01-01 20:00:18.000000000,M12,housing,C,False,49.3
J500037,2022-01-01 19:29:00,2022-01-01 20:16:36.000000000,M08,plate,C,False,47.6
J500038,2022-01-01 19:56:00,2022-01-01 20:49:30.000000000,M08,shaft,C,False,53.5
J500039,2022-01-01 20:19:00,2022-01-01 21:08:06.000000000,M12,housing,C,False,49.1
J500040,2022-01-01 20:40:00,2022-01-01 21:30:36.000000000,M05,housing,C,False,50.6
J500041,2022-01-01 21:18:00,2022-01-01 22:09:06.000000000,M04,bracket,C,False,51.1
J500042,2022-01-01 21:34:00,2022-01-01 22:26:00.000000000,M05,housing,C,False,52.0
J500043,2022-01-01 22:05:00,2022-01-01 22:54:18.000000000,M10,gear,C,False,49.3
J500044,2022-01-01 22:28:00,2022-01-01 23:16:24.000000000,M01,shaft,C,False,48.4
