Date,actual,naive_forecast,naive_error,historical_mean_forecast,historical_mean_error,moving_average_forecast,moving_average_error,ses_forecast,ses_error
2025-01-05,664.5,550.0,114.5,549.2272727272727,115.27272727272725,549.7857142857143,114.71428571428567,549.2272849762662,115.27271502373378
2025-01-12,483.0,664.5,-181.5,549.7761904761904,-66.77619047619044,544.2857142857143,-61.285714285714334,549.2272866939635,-66.22728669396349
2025-01-19,603.0,483.0,120.0,549.4597156398104,53.54028436018962,549.1428571428571,53.85714285714289,549.2272857071,53.77271429289999
2025-01-26,523.0,603.0,-80.0,549.7122641509434,-26.712264150943383,549.3571428571429,-26.35714285714289,549.2272865083759,-26.22728650837587
2025-02-02,561.0,523.0,38.0,549.586854460094,11.413145539906054,563.6428571428571,-2.6428571428571104,549.2272861175588,11.772713882441167
2025-02-09,637.0,561.0,76.0,549.6401869158879,87.35981308411215,572.0714285714286,64.92857142857144,549.2272862929859,87.77271370701408
2025-02-16,545.5,637.0,-91.5,550.046511627907,-4.546511627906966,574.5,-29.0,549.2272876009013,-3.7272876009012634
2025-02-23,571.0,545.5,25.5,550.0254629629629,20.974537037037067,573.8571428571429,-2.8571428571428896,549.2272875453604,21.772712454639645
2025-03-02,533.0,571.0,-38.0,550.1221198156682,-17.122119815668157,560.5,-27.5,549.227287869799,-16.227287869799056
2025-03-09,578.5,533.0,45.5,550.0435779816514,28.456422018348576,567.6428571428571,10.85714285714289,549.2272876279936,29.272712372006367
2025-03-16,480.0,578.5,-98.5,550.1735159817351,-70.17351598173514,564.1428571428571,-84.14285714285711,549.227288064191,-69.22728806419104
2025-03-23,554.5,480.0,74.5,549.8545454545455,4.645454545454527,558.0,-3.5,549.2272870326241,5.272712967375924
2025-03-30,420.5,554.5,-134.0,549.8755656108598,-129.37556561085978,557.0714285714286,-136.57142857142856,549.2272871111936,-128.72728711119362
2025-04-06,465.5,420.5,45.0,549.2927927927927,-83.79279279279274,526.1428571428571,-60.64285714285711,549.2272851930076,-83.72728519300756
2025-04-13,489.5,465.5,24.0,548.9170403587444,-59.41704035874443,514.7142857142857,-25.214285714285666,549.2272839453738,-59.727283945373756
2025-04-20,597.0,489.5,107.5,548.6517857142857,48.348214285714334,503.07142857142856,93.92857142857144,549.2272830553678,47.77271694463218
2025-04-27,632.5,597.0,35.5,548.8666666666667,83.63333333333333,512.2142857142857,120.28571428571433,549.2272837672368,83.27271623276317
2025-05-04,566.0,632.5,-66.5,549.2367256637168,16.76327433628319,519.9285714285714,46.071428571428555,549.2272850080969,16.772714991903058
2025-05-11,459.0,566.0,-107.0,549.3105726872246,-90.31057268722464,532.2142857142857,-73.21428571428567,549.2272852580298,-90.22728525802984
2025-05-18,500.5,459.0,41.5,548.9144736842105,-48.41447368421052,518.5714285714286,-18.071428571428555,549.2272839135385,-48.727283913538486
2025-05-25,698.5,500.5,198.0,548.703056768559,149.796943231441,530.0,168.5,549.2272831874453,149.27271681255468
2025-06-01,521.0,698.5,-177.5,549.354347826087,-28.35434782608695,563.2857142857143,-42.285714285714334,549.2272854117822,-28.22728541178219
2025-06-08,491.0,521.0,-30.0,549.2316017316017,-58.2316017316017,567.7857142857143,-76.78571428571433,549.2272849911628,-58.22728499116283
2025-06-15,574.0,491.0,83.0,548.9806034482758,25.019396551724185,552.6428571428571,21.35714285714289,549.2272841235086,24.77271587649136
2025-06-22,459.0,574.0,-115.0,549.0879828326181,-90.08798283261808,544.2857142857143,-85.28571428571433,549.2272844926508,-90.22728449265082
2025-06-29,500.5,459.0,41.5,548.7029914529915,-48.202991452991455,529.0,-28.5,549.2272831481595,-48.72728314815947
2025-07-06,460.0,500.5,-40.5,548.4978723404255,-88.49787234042549,534.9285714285714,-74.92857142857144,549.2272824220664,-89.22728242206642
2025-07-13,495.0,460.0,35.0,548.1228813559322,-53.122881355932236,529.1428571428571,-34.14285714285711,549.2272810924763,-54.227281092476346
2025-07-20,553.5,495.0,58.5,547.8987341772151,5.601265822784853,500.07142857142856,53.428571428571445,549.2272802844269,4.272719715573089
2025-07-27,596.0,553.5,42.5,547.9222689075631,48.07773109243692,504.7142857142857,91.28571428571428,549.2272803480954,46.772719651904595
2025-08-03,552.0,596.0,-44.0,548.1234309623431,3.87656903765685,519.7142857142857,32.285714285714334,549.2272810450633,2.7727189549367495
2025-08-10,454.5,552.0,-97.5,548.1395833333333,-93.63958333333335,516.5714285714286,-62.071428571428555,549.22728108638,-94.72728108638
2025-08-17,592.5,454.5,138.0,547.7510373443984,44.748962655601645,515.9285714285714,76.57142857142856,549.2272796748335,43.27272032516646
2025-08-24,444.0,592.5,-148.5,547.9359504132232,-103.93595041322317,529.0714285714286,-85.07142857142856,549.2272803196473,-105.22728031964732
